Фирма,Область,Город,Дата накл,Факт.адрес доставки,Юр. адрес клиента,Клиент,Код клиента,Код подразд кл,ОКПО клиента,Лицензия,Дата окончания лицензии,Код товара,Штрих-код товара,Товар,Код мориона,ЕИ,Производитель,Поставщик,Количество,Склад/филиал
"ТОВ ""БаДМ""",ВИННИЦКАЯ,БАР,10/7/2021,"м. Бар, вул. Соборна,11, Вінницька обл.","м.Київ, ВУЛИЦЯ ПАРКОВО-СИРЕЦЬКА, будинок 15-А","ЦЕНТРАЛЬНА ФАРМАЦЕВТИЧНА КОМПАНІЯ , ТОВ",32276,32276_19,38727372,"АЕ,№ 193410",10/15/2090,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,БАР,10/7/2021,"м. Бар, вул. Соборна,11, Вінницька обл.","м.Київ, ВУЛИЦЯ ПАРКОВО-СИРЕЦЬКА, будинок 15-А","ЦЕНТРАЛЬНА ФАРМАЦЕВТИЧНА КОМПАНІЯ , ТОВ",32276,32276_19,38727372,"АЕ,№ 193410",10/15/2090,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,БЕРШАДЬ,10/7/2021,"м.Бершадь, вул.Мудрого Ярослава, 30А","м.Київ, ВУЛИЦЯ ПАРКОВО-СИРЕЦЬКА, будинок 15-А","ЦЕНТРАЛЬНА ФАРМАЦЕВТИЧНА КОМПАНІЯ , ТОВ",32276,32276_28,38727372,"АЕ,№ 193410",10/15/2090,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/7/2021,"м.Вінниця, вул.Зодчих, 28 а","Дніпропетровська обл., м.Дніпро, УЗВІЗ СЕЛЯНСЬКИЙ, буд.3-А","І.К.ВЕЛ, ТОВ",20871,20871_20,36439904,АЕ №194176,5/20/2030,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/11/2021,"м.Вінниця, вул.Максима Шимка, 32, прим.106","Вінницька обл., м.Вінниця, вул.Станіславського, буд.23, кв.12","Іолтуховський С.Б.ФОП, м.Вінниця",24708,24708_7,2584704118,АВ №564562,1/25/2100,1323011,4820104990221,Ксероформ пор.накож.10г флак.карт.уп,657565,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/1/2021,"м.Вінниця, площа Привокзальна, 1","Львівська обл., Пустомитівський район, місто Пустомити, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 68","Аптека Аронія , ПП",24700,24700_113,36450032,АГ №501258,12/31/2100,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",3,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/11/2021,"м.Вінниця вул.Соборна, 46","Дніпропетровська обл., місто Дніпро, ПРОСПЕКТ ГЕРОЇВ, будинок 11Б","МЕД-СЕРВІС, ТОВ",33339,33339_3,32772863,АВ №528089,12/31/2100,1323011,4820104990221,Ксероформ пор.накож.10г флак.карт.уп,657565,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/13/2021,"М.Вінниця, вул. Магістратська, буд. 44А","Вінницька обл., м. Вінниця, вул. МАРІЇ ЛИТВИНЕНКО-ВОЛЬГЕМУТ, буд. 40","МЕДИЧНИЙ ЦЕНТР ""АЛЬТАМЕДИКА"" , ТОВ",17880,17880_6,33263679,,,1323011,4820104990221,Ксероформ пор.накож.10г флак.карт.уп,657565,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/7/2021,"м. Вінниця, вул. Соборна, 35, прим. 3","м. Київ вул Оноре Бальзака,80","Оніксмед, ТОВ",33081,33081_2,38942986,,,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/1/2021,"м. Вінниця, вул. Хмельницьке шосе, 92-А","Вінницька обл., Вінницький район, село Вінницькі Хутори, ВУЛИЦЯ НЕМИРІВСЬКЕ ШОСЕ, будинок 9","ПРИВАТНЕ ВИРОБНИЧО-КОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БОГДАН"", ПП",16180,16180_9,30257070,АЕ №192257,12/31/2021,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",3,Винница Сводный
